OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1200,2020-012D,2025-04-20T19:49:16.629024,15.06411947,.0001569,53.0557,56.0146,87.4898,272.6270,0,U,45181,999,28617,.22175E-3,.3024E-4,0
STARLINK-1201,2020-012E,2025-04-20T18:42:56.447136,15.06414547,.0001531,53.0545,36.2143,84.8183,275.2981,0,U,45182,999,28629,.10224E-2,.14986E-3,0
STARLINK-1202,2020-012F,2025-04-20T20:42:21.584448,15.06414923,.0001646,53.0542,55.8453,108.9261,251.1907,0,U,45183,999,28618,.51043E-3,.7332E-4,0
STARLINK-1216,2020-012H,2025-04-20T03:00:48.423744,15.06391950,.0002233,53.0551,59.1448,116.5639,243.5579,0,U,45185,999,28601,.18817E-3,.2522E-4,0
STARLINK-1224,2020-012J,2025-04-20T20:52:58.252224,15.06411937,.0001963,53.0557,55.8035,106.2778,253.8427,0,U,45186,999,28612,.30467E-3,.4261E-4,0
STARLINK-1225,2020-012K,2025-04-20T20:58:16.172256,15.06421312,.0001441,53.0543,55.7909,87.6855,272.4299,0,U,45187,999,28617,.88588E-4,.1039E-4,0
STARLINK-1228,2020-012L,2025-04-20T22:00:01.999584,15.46397967,.0001217,53.0519,12.0017,79.6310,40.2929,0,U,45188,999,585,.2236E-1,.1240717E-1,0
STARLINK-1230,2020-012M,2025-04-20T19:28:02.303328,15.06411336,.0001619,53.0560,56.0730,97.2832,262.8341,0,U,45189,999,28339,-.19451E-3,-.3178E-4,0
STARLINK-1234,2020-012N,2025-04-20T18:19:02.967456,15.06417798,.0001877,53.0559,16.2885,115.2466,244.8718,0,U,45190,999,28662,.49127E-3,.7047E-4,0
STARLINK-1237,2020-012Q,2025-04-20T20:37:02.659584,15.06409907,.0001513,53.0566,55.8518,98.3232,261.7929,0,U,45192,999,28618,.23494E-3,.3221E-4,0
STARLINK-1240,2020-012S,2025-04-20T20:26:25.184832,15.06410807,.0001614,53.0564,55.8930,104.3661,255.7507,0,U,45194,999,28607,.13805E-3,.1776E-4,0
STARLINK-1244,2020-012U,2025-04-20T19:59:53.223360,15.06407569,.0001442,53.0545,55.9757,112.3597,247.7545,0,U,45196,999,28622,.16548E-3,.2185E-4,0
STARLINK-1269,2020-012V,2025-04-20T02:13:02.739648,15.06385469,.0001495,53.0562,59.3020,102.2549,257.8608,0,U,45197,999,28603,.13411E-3,.1716E-4,0
STARLINK-1154,2020-012W,2025-04-20T01:59:46.558464,15.06397357,.0001698,53.0557,39.3364,118.9685,241.1474,0,U,45198,999,28628,.13671E-3,.1755E-4,0
STARLINK-1199,2020-012Z,2025-04-20T00:40:08.819040,15.06400457,.0001438,53.0549,39.5854,88.4199,271.6954,0,U,45201,999,28633,.12307E-3,.1552E-4,0
STARLINK-1206,2020-012AC,2025-04-20T18:48:15.746112,15.06399482,.0001597,53.0551,36.2018,63.4989,296.6164,0,U,45204,999,28646,.22984E-2,.34119E-3,0
STARLINK-1208,2020-012AD,2025-04-20T19:20:04.951968,15.06426563,.000141,53.0559,36.0975,91.8476,268.2675,0,U,45205,999,28647,.63106E-3,.9137E-4,0
STARLINK-1209,2020-012AE,2025-04-20T18:24:20.738880,15.06433905,.000134,53.0549,16.2734,81.7901,278.3240,0,U,45206,999,28577,.10706E-2,.15715E-3,0
STARLINK-1210,2020-012AF,2025-04-20T18:29:23.401536,15.25660776,.0009675,53.0360,20.9588,99.8350,260.3740,0,U,45207,999,28666,.75386E-3,.19169E-3,0
STARLINK-1219,2020-012AJ,2025-04-20T22:00:01.999584,15.55693055,.0002255,53.0557,25.7051,195.0439,288.1607,0,U,45210,999,593,.27127E-3,.18552E-3,0
STARLINK-1231,2020-012AL,2025-04-20T01:38:32.285472,15.06394187,.0001577,53.0555,39.4053,118.6012,241.5136,0,U,45212,999,28629,.14865E-3,.1933E-4,0
STARLINK-1271,2020-012AR,2025-04-20T19:25:22.801152,15.06420925,.0001395,53.0542,36.0751,111.7218,248.3919,0,U,45217,999,28645,.11996E-3,.1507E-4,0
